0.112953	1.8688	2319
0.584004	1.4240	1767
0.608940	1.4981	1859
0.710578	1.5078	1871
0.737352	1.5593	1935
0.818305	1.7527	2175
0.849839	1.4240	1767
0.929529	1.4691	1823
0.950830	1.6625	2063
1.056977	1.7914	2223
1.097506	1.4465	1795
1.198059	1.5013	1863
1.222158	1.5078	1871
1.330617	1.5722	1951
1.423212	1.5722	1951
1.534296	1.7785	2207
1.872674	1.6238	2015
1.919263	1.8849	2339
2.001648	1.4562	1807
2.026450	1.5481	1921
2.117445	1.5432	1915
2.142966	1.5755	1955
2.233471	1.6109	1999
2.341183	1.6045	1991
2.433903	3.2404	4021
2.558263	1.5271	1895
2.623808	1.7656	2191
2.724674	1.5013	1863
2.840107	1.4981	1859
2.930846	1.5013	1863
3.040199	1.5142	1879
3.137744	1.5722	1951
3.239813	1.5529	1927
3.345202	3.2355	4015
3.454830	1.5658	1943
3.528994	1.8430	2287
3.627732	1.4497	1799
3.727392	1.4820	1839
3.829241	1.5013	1863
3.927259	1.5464	1919
4.026061	1.5529	1927
4.133817	2.8133	3491
4.249129	1.5988	1984
4.332312	1.8881	2343
4.424246	1.4465	1795
4.539601	1.5207	1887
4.632039	1.5336	1903
4.731444	1.5529	1927
4.857648	1.5529	1927
4.927187	3.2355	4015
5.025162	1.5336	1903
5.122390	1.8075	2243
5.238447	1.4433	1791
5.341737	1.4884	1847
5.429404	1.5013	1863
5.549656	1.5400	1911
5.625876	1.5207	1887
5.726064	1.8301	2271
5.833437	1.5593	1935
5.927651	1.8333	2275
6.033945	1.4111	1751
6.141592	1.4820	1839
6.232023	1.5013	1863
6.332693	1.5851	1967
6.429125	1.5529	1927
6.552915	1.3208	1639
6.626752	1.6109	1999
6.727323	1.8881	2343
6.843299	1.4046	1743
6.926928	1.5013	1863
7.028571	1.5013	1863
7.134512	1.7044	2115
7.238905	1.2628	1567
7.333282	1.4965	1857
7.423216	1.7141	2127
7.525810	1.7044	2115
7.648417	1.4820	1839
7.730746	1.4965	1857
7.832458	1.6883	2095
7.929399	1.4884	1847
8.038506	1.4465	1795
8.126133	1.6818	2087
8.235618	1.8108	2247
8.350859	1.4562	1807
8.442455	1.5207	1887
8.533358	1.5239	1891
8.625491	1.5078	1871
8.727346	3.2388	4019
8.860480	1.5013	1863
8.924098	1.7914	2223
9.027081	1.4497	1799
9.134192	1.4981	1859
9.226838	1.5078	1871
9.341249	1.5658	1943
9.432570	1.5271	1895
9.532299	1.2370	1535
9.631402	1.6045	1991
9.721963	1.8430	2287
9.839868	1.4046	1743
9.937014	1.4981	1859
10.044153	1.5078	1871
10.134392	1.6496	2047
10.241657	1.5336	1903
10.324974	1.5916	1975
10.433483	1.6303	2023
10.548154	1.9365	2403
10.621997	1.4433	1791
10.723070	1.5207	1887
10.832098	1.5207	1887
10.930995	1.6625	2063
11.030259	3.2097	3983
11.138078	1.5013	1863
11.236885	1.7721	2199
11.343927	1.5013	1863
11.426375	1.4465	1795
11.543068	1.4981	1859
11.635744	1.5851	1967
11.723800	2.7714	3439
11.826125	1.5336	1903
11.923158	1.8301	2271
12.031749	1.5497	1923
12.130116	1.4497	1799
12.253161	1.5013	1863
12.334931	1.7850	2215
12.434962	1.7656	2191
12.525718	1.5207	1887
12.627393	1.7141	2127
12.750142	1.8688	2319
12.826266	1.5529	1927
12.940780	1.5207	1887
13.031646	1.4820	1839
13.122953	1.5207	1887
13.264489	3.2404	4021
13.330165	1.4723	1827
13.430353	1.6432	2039
13.545308	1.2757	1583
13.871774	1.3659	1695
14.047864	1.5013	1863
14.075319	1.6947	2103
14.158356	1.3530	1679
14.183061	1.3982	1735
14.282509	1.6818	2087
14.315411	1.1886	1475
14.418001	1.6012	1987
14.450525	1.6367	2031
14.533876	1.8108	2247
14.632561	1.4046	1743
14.724339	1.6367	2031
14.835364	1.9333	2399
14.947633	1.7850	2215
15.026252	1.1371	1411
15.136983	2.0815	2583
15.232992	2.2459	2787
15.335427	3.2355	4015
15.429525	1.7592	2183
15.533517	2.4941	3095
15.629183	1.6818	2087
15.740337	1.6367	2031
15.853069	1.6786	2083
15.932479	1.2902	1601
16.028024	2.9382	3646
16.139628	1.6303	2023
16.234168	1.4433	1791
16.346186	0.6713	833
16.435540	1.3144	1631
16.530385	1.5787	1959
16.648287	1.3530	1679
16.731196	1.7270	2143
16.834459	1.6883	2095
16.952904	1.9462	2415
